iter	Passed	Remaining
897	8185	929
898	8194	920
899	8202	911
900	8210	902
901	8218	892
902	8226	883
903	8233	874
904	8241	865
905	8248	855
906	8255	846
907	8264	837
908	8272	828
909	8281	819
910	8290	809
911	8299	800
912	8307	791
913	8316	782
914	8324	773
915	8334	764
916	8342	755
917	8351	745
918	8359	736
919	8367	727
920	8374	718
921	8382	709
922	8390	699
923	8397	690
924	8405	681
925	8413	672
926	8421	663
927	8430	654
928	8439	644
929	8448	635
930	8456	626
931	8465	617
932	8473	608
933	8481	599
934	8490	590
935	8498	581
936	8508	572
937	8519	563
938	8527	553
939	8536	544
940	8545	535
941	8553	526
942	8561	517
943	8569	508
944	8577	499
945	8585	490
946	8593	480
947	8601	471
948	8609	462
949	8619	453
950	8627	444
951	8635	435
952	8644	426
953	8653	417
954	8662	408
955	8671	399
956	8679	390
957	8687	380
958	8696	371
959	8704	362
960	8712	353
961	8720	344
962	8728	335
963	8737	326
964	8745	317
965	8753	308
966	8762	299
967	8770	289
968	8778	280
969	8787	271
970	8795	262
971	8803	253
972	8812	244
973	8820	235
974	8828	226
975	8836	217
976	8845	208
977	8853	199
978	8861	190
979	8869	181
980	8878	171
981	8885	162
982	8893	153
983	8901	144
984	8909	135
985	8917	126
986	8926	117
987	8933	108
988	8942	99
989	8950	90
990	8959	81
991	8967	72
992	8976	63
993	8984	54
994	8992	45
995	9001	36
996	9010	27
997	9018	18
998	9026	9
999	9034	0
